city,date,rate,state
Agartala,2017-07-31,53.76,Tripura
Agartala,2017-08-02,53.9,Tripura
Agartala,2017-08-04,54.35,Tripura
Agartala,2017-08-08,54.96,Tripura
Agartala,2017-08-09,55.02,Tripura
Agartala,2017-08-10,55.04,Tripura
Agartala,2017-08-11,55.21,Tripura
Agartala,2017-08-16,55.57,Tripura
Agartala,2017-08-17,55.6,Tripura
Agartala,2017-08-18,55.5,Tripura
Agartala,2017-08-22,55.27,Tripura
Agartala,2017-08-24,55.28,Tripura
Agartala,2017-08-29,55.24,Tripura
Agartala,2017-08-31,55.28,Tripura
Agartala,2017-09-01,55.35,Tripura
Agartala,2017-09-05,55.67,Tripura
Agartala,2017-09-07,55.8,Tripura
Agartala,2017-09-08,55.99,Tripura
Agartala,2017-09-12,56.9,Tripura
Agartala,2017-09-14,56.92,Tripura
Agartala,2017-09-15,56.98,Tripura
Agartala,2017-09-20,56.97,Tripura
Agartala,2017-09-21,56.87,Tripura
Agartala,2017-09-26,56.86,Tripura
Agartala,2017-09-28,56.88,Tripura
Agartala,2017-09-29,56.96,Tripura
Agartala,2017-10-04,55.12,Tripura
Agartala,2017-10-06,55.18,Tripura
Agartala,2017-10-10,55.23,Tripura
Agartala,2017-10-11,55.26,Tripura
Agartala,2017-10-13,55.24,Tripura
Agartala,2017-10-18,55.1,Tripura
Agartala,2017-10-25,55.38,Tripura
Agartala,2017-10-26,55.43,Tripura
Agartala,2017-10-31,55.91,Tripura
Agartala,2017-11-01,55.99,Tripura
Agartala,2017-11-02,56.09,Tripura
Agartala,2017-11-03,56.19,Tripura
Agartala,2017-11-07,56.51,Tripura
Agartala,2017-11-09,56.56,Tripura
Agartala,2017-11-14,56.59,Tripura
Agartala,2017-11-15,56.57,Tripura
Agartala,2017-11-16,56.56,Tripura
Agartala,2017-11-21,56.58,Tripura
Agartala,2017-11-22,56.55,Tripura
Agartala,2017-11-24,56.58,Tripura
Agartala,2017-11-28,56.61,Tripura
Agartala,2017-11-30,56.63,Tripura
Agartala,2017-12-01,56.64,Tripura
Agartala,2017-12-06,56.69,Tripura
Agartala,2017-12-08,56.68,Tripura
Agartala,2017-12-12,56.59,Tripura
Agartala,2017-12-13,56.57,Tripura
Agartala,2017-12-14,56.58,Tripura
Agartala,2017-12-15,56.62,Tripura
Agartala,2017-12-21,57.08,Tripura
Agartala,2017-12-22,57.14,Tripura
Agartala,2017-12-27,57.6,Tripura
Agartala,2017-12-28,57.68,Tripura
Agartala,2017-12-29,57.77,Tripura
Agartala,2018-01-02,57.97,Tripura
Agartala,2018-02-01,62.25,Tripura
Agartala,2018-02-05,62.27,Tripura
Agartala,2018-02-06,62.35,Tripura
Agartala,2018-02-08,62.28,Tripura
Agartala,2018-02-09,62.25,Tripura
Agartala,2018-02-12,61.77,Tripura
Agartala,2018-02-13,61.65,Tripura
Agartala,2018-02-15,61.48,Tripura
Agartala,2018-02-16,61.19,Tripura
Agartala,2018-02-19,60.62,Tripura
Agartala,2018-02-20,60.48,Tripura
Agartala,2018-02-21,60.49,Tripura
Agartala,2018-02-22,60.48,Tripura
Agartala,2018-02-23,60.4,Tripura
Agartala,2018-02-26,60.36,Tripura
Agartala,2018-02-27,60.34,Tripura
Agartala,2018-03-01,60.44,Tripura
Agartala,2018-03-05,61.06,Tripura
Agartala,2018-03-06,61.13,Tripura
Agartala,2018-03-08,61.08,Tripura
Agartala,2018-03-09,61.05,Tripura
Agartala,2018-03-12,61.04,Tripura
Agartala,2018-03-13,61.02,Tripura
Agartala,2018-03-15,61.04,Tripura
Agartala,2018-03-16,60.98,Tripura
Agartala,2018-03-19,60.9,Tripura
Agartala,2018-03-20,60.97,Tripura
Agartala,2018-03-22,61.05,Tripura
Agartala,2018-03-23,61.18,Tripura
Agartala,2018-03-26,61.81,Tripura
Agartala,2018-03-27,61.92,Tripura
Agartala,2018-03-29,62.06,Tripura
Agartala,2018-04-02,62.81,Tripura
Agartala,2018-04-03,62.94,Tripura
Agartala,2018-04-05,62.96,Tripura
Agartala,2018-04-09,63.04,Tripura
Agartala,2018-04-10,63.07,Tripura
Agartala,2018-04-12,63.04,Tripura
Agartala,2018-04-13,63.07,Tripura
Agartala,2018-04-16,63.29,Tripura
Agartala,2018-04-19,63.37,Tripura
Agartala,2018-04-20,63.41,Tripura
Agartala,2018-04-23,63.84,Tripura
Agartala,2018-04-24,64.01,Tripura
Agartala,2018-05-15,64.5,Tripura
Agartala,2018-05-16,64.71,Tripura
Agartala,2018-05-17,64.92,Tripura
Agartala,2018-05-18,65.2,Tripura
Agartala,2018-05-21,65.92,Tripura
Agartala,2018-05-22,66.17,Tripura
Agartala,2018-05-23,66.43,Tripura
Agartala,2018-05-24,66.61,Tripura
Agartala,2018-05-25,66.83,Tripura
Agartala,2018-05-26,66.97,Tripura
Agartala,2018-05-27,67.13,Tripura
Agartala,2018-05-28,67.23,Tripura
Agartala,2018-05-29,67.37,Tripura
Agartala,2018-05-31,67.31,Tripura
Agartala,2018-06-01,67.26,Tripura
Agartala,2018-06-02,67.18,Tripura
Agartala,2018-06-04,67.04,Tripura
Agartala,2018-06-05,66.95,Tripura
Agartala,2018-06-06,66.87,Tripura
Agartala,2018-06-07,66.81,Tripura
Agartala,2018-06-08,66.66,Tripura
Agartala,2018-06-09,66.37,Tripura
Agartala,2018-06-10,66.2,Tripura
Agartala,2018-06-11,66.07,Tripura
Agartala,2018-06-12,65.99,Tripura
Agartala,2018-06-17,65.92,Tripura
Agartala,2018-06-21,65.84,Tripura
Agartala,2018-06-23,65.79,Tripura
Agartala,2018-06-24,65.74,Tripura
Agartala,2018-06-25,65.69,Tripura
Agartala,2018-06-26,65.59,Tripura
Agartala,2018-07-06,65.83,Tripura
Agartala,2018-07-10,66.41,Tripura
Agartala,2018-07-12,66.48,Tripura
Agartala,2018-07-13,66.61,Tripura
Agartala,2018-07-16,66.65,Tripura
Agartala,2018-07-19,66.57,Tripura
Agartala,2018-07-20,66.45,Tripura
Agartala,2018-07-23,66.12,Tripura
Agartala,2018-07-24,66.59,Tripura
Agartala,2018-07-30,66.55,Tripura
Agartala,2018-07-31,66.62,Tripura
Agartala,2018-08-02,66.77,Tripura
Agartala,2018-08-03,66.86,Tripura
Agartala,2018-08-06,67.27,Tripura
Agartala,2018-08-07,67.33,Tripura
Agartala,2018-08-16,67.6,Tripura
Agartala,2018-08-17,67.68,Tripura
Agartala,2018-08-20,67.86,Tripura
Agartala,2018-08-21,67.92,Tripura
Agartala,2018-08-24,68.0,Tripura
Agartala,2018-08-25,67.34,Tripura
Agartala,2018-08-27,68.27,Tripura
Agartala,2018-08-28,68.42,Tripura
Agartala,2018-08-29,68.56,Tripura
Agartala,2018-08-30,68.73,Tripura
Agartala,2018-08-31,69.01,Tripura
Agartala,2018-09-03,71.29,Tripura
Agartala,2018-09-04,71.48,Tripura
Agartala,2018-09-06,71.69,Tripura
Agartala,2018-09-07,72.21,Tripura
Agartala,2018-09-10,72.98,Tripura
Agartala,2018-09-11,73.12,Tripura
Agartala,2018-09-14,73.44,Tripura
Agartala,2018-09-15,73.68,Tripura
Agartala,2018-09-16,73.86,Tripura
Agartala,2018-09-17,73.92,Tripura
Agartala,2018-09-18,74.01,Tripura
Agartala,2018-09-23,74.11,Tripura
Agartala,2018-09-24,74.16,Tripura
Agartala,2018-09-25,74.26,Tripura
Agartala,2018-09-27,74.38,Tripura
Agartala,2018-09-28,74.56,Tripura
Agartala,2018-09-30,74.93,Tripura
Agartala,2018-10-01,75.23,Tripura
Agartala,2018-10-02,75.39,Tripura
Agartala,2018-10-04,75.59,Tripura
Agartala,2018-10-05,75.56,Tripura
Agartala,2018-10-06,71.06,Tripura
Agartala,2018-10-07,71.34,Tripura
Agartala,2018-10-08,71.62,Tripura
Agartala,2018-10-09,71.9,Tripura
Agartala,2018-10-10,72.13,Tripura
Agartala,2018-10-11,72.39,Tripura
Agartala,2018-10-12,72.66,Tripura
Agartala,2018-10-13,72.94,Tripura
Agartala,2018-10-14,73.13,Tripura
Agartala,2018-10-15,73.21,Tripura
Agartala,2018-10-16,73.43,Tripura
Agartala,2018-10-18,73.32,Tripura
Agartala,2018-10-19,73.22,Tripura
Agartala,2018-10-20,73.11,Tripura
Agartala,2018-10-22,72.68,Tripura
Agartala,2018-10-23,72.62,Tripura
Agartala,2018-10-26,72.5,Tripura
Agartala,2018-10-29,71.65,Tripura
Agartala,2018-10-30,71.58,Tripura
Agartala,2018-11-02,71.52,Tripura
Agartala,2018-11-05,71.05,Tripura
Agartala,2018-11-06,70.97,Tripura
Agartala,2018-11-12,70.23,Tripura
Agartala,2018-11-13,70.12,Tripura
Agartala,2018-11-15,70.02,Tripura
Agartala,2018-11-16,69.86,Tripura
Agartala,2018-11-19,69.52,Tripura
Agartala,2018-11-20,69.23,Tripura
Agartala,2018-11-22,68.94,Tripura
Agartala,2018-11-23,68.54,Tripura
Agartala,2018-11-26,67.31,Tripura
Agartala,2018-11-27,66.92,Tripura
Agartala,2018-11-28,66.54,Tripura
Agartala,2018-11-30,65.79,Tripura
Agartala,2018-12-01,65.43,Tripura
Agartala,2018-12-02,65.09,Tripura
Agartala,2018-12-04,64.51,Tripura
Agartala,2018-12-06,64.09,Tripura
Agartala,2018-12-07,63.69,Tripura
Agartala,2018-12-10,62.99,Tripura
Agartala,2018-12-11,62.85,Tripura
Agartala,2018-12-14,62.77,Tripura
Agartala,2018-12-17,62.68,Tripura
Agartala,2018-12-18,62.74,Tripura
Agartala,2018-12-21,62.6,Tripura
Agartala,2018-12-24,62.06,Tripura
Agartala,2018-12-27,61.99,Tripura
Agartala,2018-12-28,61.85,Tripura
Agartala,2018-12-31,64.24,Tripura
Agartala,2019-01-02,64.05,Tripura
Agartala,2019-01-04,63.83,Tripura
Agartala,2019-01-07,63.63,Tripura
Agartala,2019-01-08,63.64,Tripura
Agartala,2019-01-09,63.63,Tripura
Agartala,2019-01-10,63.92,Tripura
Agartala,2019-01-11,64.17,Tripura
Agartala,2019-01-14,65.6,Tripura
Agartala,2019-01-16,66.02,Tripura
Agartala,2019-01-17,66.21,Tripura
Agartala,2019-01-18,66.37,Tripura
Agartala,2019-01-21,67.16,Tripura
Agartala,2019-01-22,67.35,Tripura
Agartala,2019-01-25,67.46,Tripura
Agartala,2019-01-29,67.34,Tripura
Agartala,2019-01-31,67.24,Tripura
Agartala,2019-02-01,67.18,Tripura
Agartala,2019-02-05,66.98,Tripura
Agartala,2019-02-07,67.03,Tripura
Agartala,2019-02-11,67.09,Tripura
Agartala,2019-02-14,67.14,Tripura
Agartala,2019-02-15,67.2,Tripura
Agartala,2019-02-18,67.59,Tripura
Agartala,2019-02-19,67.66,Tripura
Agartala,2019-02-22,67.97,Tripura
Agartala,2019-02-25,68.3,Tripura
Agartala,2019-02-26,68.42,Tripura
Agartala,2019-02-28,68.5,Tripura
Agartala,2019-03-01,68.34,Tripura
Agartala,2019-03-04,69.05,Tripura
Agartala,2019-03-05,69.15,Tripura
Agartala,2019-03-08,69.05,Tripura
Agartala,2019-03-11,68.95,Tripura
Agartala,2019-03-12,68.88,Tripura
Agartala,2019-03-14,68.83,Tripura
Agartala,2019-03-15,68.73,Tripura
Agartala,2019-03-18,68.57,Tripura
Agartala,2019-03-19,68.31,Tripura
Agartala,2019-03-21,68.23,Tripura
Agartala,2019-03-22,68.16,Tripura
Agartala,2019-03-23,68.11,Tripura
Agartala,2019-03-24,68.07,Tripura
Agartala,2019-03-25,67.99,Tripura
Agartala,2019-03-28,67.88,Tripura
Agartala,2019-03-29,67.79,Tripura
Agartala,2019-04-01,67.53,Tripura
Agartala,2019-04-04,67.58,Tripura
Agartala,2019-04-08,67.55,Tripura
Agartala,2019-04-09,67.56,Tripura
Agartala,2019-04-12,67.63,Tripura
Agartala,2019-04-15,67.71,Tripura
Agartala,2019-04-16,67.76,Tripura
Agartala,2019-04-17,67.75,Tripura
Agartala,2019-04-20,67.84,Tripura
Agartala,2019-04-22,67.83,Tripura
Agartala,2019-04-25,67.99,Tripura
Agartala,2019-04-26,68.06,Tripura
Agartala,2019-04-27,68.07,Tripura
Agartala,2019-04-29,68.11,Tripura
Agartala,2019-04-30,68.16,Tripura
Agartala,2019-05-02,68.06,Tripura
Agartala,2019-05-04,68.13,Tripura
Agartala,2019-05-05,68.08,Tripura
Agartala,2019-05-09,67.99,Tripura
Agartala,2019-05-10,67.9,Tripura
Agartala,2019-05-11,67.71,Tripura
Agartala,2019-05-12,67.53,Tripura
Agartala,2019-05-13,67.4,Tripura
Agartala,2019-05-14,67.28,Tripura
Agartala,2019-05-16,67.33,Tripura
Agartala,2019-05-17,67.38,Tripura
Agartala,2019-05-18,71.05,Tripura
Agartala,2019-05-20,67.53,Tripura
Agartala,2019-05-21,67.62,Tripura
Agartala,2019-05-23,67.72,Tripura
Agartala,2019-05-24,67.88,Tripura
Agartala,2019-05-25,68.0,Tripura
Agartala,2019-05-26,68.07,Tripura
Agartala,2019-05-28,68.12,Tripura
Agartala,2019-05-30,68.06,Tripura
Agartala,2019-05-31,67.94,Tripura
Agartala,2019-06-01,67.9,Tripura
Agartala,2019-06-02,67.87,Tripura
Agartala,2019-06-03,67.52,Tripura
Agartala,2019-06-04,67.32,Tripura
Agartala,2019-06-06,66.97,Tripura
Agartala,2019-06-07,66.65,Tripura
Agartala,2019-06-10,66.13,Tripura
Agartala,2019-06-13,66.07,Tripura
Agartala,2019-06-14,65.9,Tripura
Agartala,2019-06-15,65.66,Tripura
Agartala,2019-06-16,65.57,Tripura
Agartala,2019-06-20,65.51,Tripura
Agartala,2019-06-24,65.63,Tripura
Agartala,2019-06-27,65.68,Tripura
Agartala,2019-06-28,65.74,Tripura
Agartala,2019-06-29,65.84,Tripura
Agartala,2019-06-30,65.92,Tripura
Agartala,2019-07-01,66.04,Tripura
Agartala,2019-07-02,66.15,Tripura
Agartala,2019-07-08,68.5,Tripura
Agartala,2019-07-09,68.45,Tripura
Agartala,2019-07-11,68.35,Tripura
Agartala,2019-07-12,68.26,Tripura
Agartala,2019-07-26,68.2,Tripura
Agartala,2019-07-29,68.09,Tripura
Agartala,2019-07-30,68.02,Tripura
Agartala,2019-08-05,68.01,Tripura
Agartala,2019-08-08,67.96,Tripura
Agartala,2019-08-10,67.69,Tripura
Agartala,2019-08-11,67.58,Tripura
Agartala,2019-08-12,67.52,Tripura
Agartala,2019-08-18,67.34,Tripura
Agartala,2019-08-19,67.26,Tripura
Agartala,2019-08-20,67.19,Tripura
Agartala,2019-08-24,67.24,Tripura
Agartala,2019-08-25,67.34,Tripura
Agartala,2019-08-27,67.44,Tripura
Agartala,2019-08-29,67.38,Tripura
Agartala,2019-08-30,67.33,Tripura
Agartala,2019-09-05,67.29,Tripura
Agartala,2019-09-06,67.24,Tripura
Agartala,2019-09-07,67.19,Tripura
Agartala,2019-09-10,67.24,Tripura
Agartala,2019-09-12,67.3,Tripura
Agartala,2019-09-13,67.39,Tripura
Agartala,2019-09-14,67.48,Tripura
Agartala,2019-09-15,67.54,Tripura
Agartala,2019-09-17,67.39,Tripura
Agartala,2019-09-18,67.89,Tripura
Agartala,2019-09-19,68.13,Tripura
Agartala,2019-09-20,68.4,Tripura
Agartala,2019-09-21,68.67,Tripura
Agartala,2019-09-22,68.87,Tripura
Agartala,2019-09-23,69.11,Tripura
Agartala,2019-09-24,69.21,Tripura
Agartala,2019-09-26,68.26,Tripura
Agartala,2019-09-27,69.38,Tripura
Agartala,2019-09-30,69.48,Tripura
Agartala,2019-10-01,69.66,Tripura
Agartala,2019-10-03,69.52,Tripura
Agartala,2019-10-04,69.44,Tripura
Agartala,2019-10-07,68.99,Tripura
Agartala,2019-10-08,68.89,Tripura
Agartala,2019-10-10,68.83,Tripura
Agartala,2019-10-11,68.68,Tripura
Agartala,2019-10-12,68.54,Tripura
Agartala,2019-10-15,68.49,Tripura
Agartala,2019-10-18,68.39,Tripura
Agartala,2019-10-19,68.31,Tripura
Agartala,2019-10-20,68.24,Tripura
Agartala,2019-10-22,68.19,Tripura
Agartala,2019-10-24,68.14,Tripura
Agartala,2019-10-25,68.08,Tripura
Agartala,2019-10-26,68.02,Tripura
Agartala,2019-10-29,67.91,Tripura
Agartala,2019-11-01,67.85,Tripura
Agartala,2019-11-05,67.86,Tripura
Agartala,2019-11-08,67.77,Tripura
Agartala,2019-11-09,67.84,Tripura
Agartala,2019-11-10,68.03,Tripura
Agartala,2019-11-13,67.9,Tripura
Agartala,2019-11-22,67.95,Tripura
Agartala,2019-11-24,67.84,Tripura
Agartala,2019-11-29,67.88,Tripura
Agartala,2019-12-01,67.89,Tripura
Agartala,2019-12-07,67.98,Tripura
Agartala,2019-12-08,68.08,Tripura
Agartala,2019-12-09,68.18,Tripura
Agartala,2019-12-10,68.16,Tripura
Agartala,2019-12-19,68.31,Tripura
Agartala,2019-12-20,68.46,Tripura
Agartala,2019-12-21,68.66,Tripura
Agartala,2019-12-22,68.86,Tripura
Agartala,2019-12-23,69.06,Tripura
Agartala,2019-12-24,69.11,Tripura
Agartala,2019-12-26,69.23,Tripura
Agartala,2019-12-27,69.48,Tripura
Agartala,2019-12-28,69.63,Tripura
Agartala,2019-12-29,69.75,Tripura
Agartala,2019-12-30,69.93,Tripura
Agartala,2019-12-31,70.11,Tripura
Agartala,2020-01-02,70.26,Tripura
Agartala,2020-01-03,70.36,Tripura
Agartala,2020-01-04,70.51,Tripura
Agartala,2020-01-05,70.61,Tripura
Agartala,2020-01-06,70.79,Tripura
Agartala,2020-01-07,70.89,Tripura
Agartala,2020-01-10,71.16,Tripura
Agartala,2020-01-11,71.28,Tripura
Agartala,2020-01-12,71.23,Tripura
Agartala,2020-01-13,71.17,Tripura
Agartala,2020-01-16,71.02,Tripura
Agartala,2020-01-17,70.87,Tripura
Agartala,2020-01-18,70.72,Tripura
Agartala,2020-01-19,70.57,Tripura
Agartala,2020-01-20,70.33,Tripura
Agartala,2020-01-21,70.11,Tripura
Agartala,2020-01-22,70.11,Tripura
Agartala,2020-01-23,69.91,Tripura
Agartala,2020-01-24,69.65,Tripura
Agartala,2020-01-25,69.35,Tripura
Agartala,2020-01-26,69.05,Tripura
Agartala,2020-01-27,68.79,Tripura
Agartala,2020-01-28,68.65,Tripura
Agartala,2020-01-29,68.65,Tripura
Agartala,2020-01-30,68.43,Tripura
Agartala,2020-01-31,68.83,Tripura
Agartala,2020-02-01,68.3,Tripura
Agartala,2020-02-02,68.22,Tripura
Agartala,2020-02-03,68.16,Tripura
Agartala,2020-02-04,68.14,Tripura
Agartala,2020-02-05,68.14,Tripura
Agartala,2020-02-06,67.99,Tripura
Agartala,2020-02-07,67.78,Tripura
Agartala,2020-02-08,67.58,Tripura
Agartala,2020-02-09,67.28,Tripura
Agartala,2020-02-11,67.2,Tripura
Agartala,2020-02-12,67.2,Tripura
Agartala,2020-02-13,67.15,Tripura
Agartala,2020-02-14,66.91,Tripura
Agartala,2020-02-15,66.91,Tripura
Agartala,2020-02-17,66.84,Tripura
Agartala,2020-02-18,66.79,Tripura
Agartala,2020-02-19,66.79,Tripura
Agartala,2020-02-20,66.79,Tripura
Agartala,2020-02-21,66.79,Tripura
Agartala,2020-02-24,66.84,Tripura
Agartala,2020-02-25,66.84,Tripura
Agartala,2020-02-26,66.84,Tripura
Agartala,2020-02-27,66.79,Tripura
Agartala,2020-02-28,66.74,Tripura
Agartala,2020-02-29,66.64,Tripura
Agartala,2020-03-01,66.49,Tripura
Agartala,2020-03-03,66.17,Tripura
Agartala,2020-03-04,66.17,Tripura
Agartala,2020-03-05,66.8,Tripura
Agartala,2020-03-06,65.95,Tripura
Agartala,2020-03-07,65.83,Tripura
Agartala,2020-03-08,65.64,Tripura
Agartala,2020-03-09,65.39,Tripura
Agartala,2020-03-10,65.14,Tripura
Agartala,2020-03-11,65.14,Tripura
Agartala,2020-03-12,65.01,Tripura
Agartala,2020-03-13,64.86,Tripura
Agartala,2020-03-14,64.68,Tripura
Agartala,2020-03-15,64.55,Tripura
Agartala,2020-03-16,64.4,Tripura
Agartala,2020-03-17,64.4,Tripura
Agartala,2020-03-18,64.4,Tripura
Agartala,2020-03-19,64.4,Tripura
Agartala,2020-03-20,64.4,Tripura
Agartala,2020-03-21,64.4,Tripura
Agartala,2020-03-22,64.4,Tripura
Agartala,2020-03-23,64.4,Tripura
Agartala,2020-03-24,64.4,Tripura
Agartala,2020-03-25,64.4,Tripura
Agartala,2020-03-26,64.4,Tripura
Agartala,2020-03-27,64.4,Tripura
Agartala,2020-03-28,64.4,Tripura
Agartala,2020-03-29,64.4,Tripura
Agartala,2020-03-30,64.4,Tripura
Agartala,2020-03-31,64.4,Tripura
Agartala,2020-04-01,64.4,Tripura
Agartala,2020-04-02,64.4,Tripura
Agartala,2020-04-03,64.4,Tripura
Agartala,2020-04-04,64.4,Tripura
Agartala,2020-04-05,64.4,Tripura
Agartala,2020-04-06,64.4,Tripura
Agartala,2020-04-07,64.4,Tripura
Agartala,2020-04-08,64.4,Tripura
Agartala,2020-04-09,64.4,Tripura
Agartala,2020-04-10,64.4,Tripura
Agartala,2020-04-11,64.4,Tripura
Agartala,2020-04-12,64.4,Tripura
Agartala,2020-04-13,64.4,Tripura
Agartala,2020-04-14,64.4,Tripura
Agartala,2020-04-15,64.4,Tripura
Agartala,2020-04-16,64.4,Tripura
Agartala,2020-04-17,64.4,Tripura
Agartala,2020-04-18,64.4,Tripura
Agartala,2020-04-20,64.4,Tripura
Agartala,2020-04-21,64.4,Tripura
Agartala,2020-04-22,64.4,Tripura
Agartala,2020-04-23,64.4,Tripura
Agartala,2020-04-24,64.4,Tripura
Agartala,2020-04-25,64.4,Tripura
Agartala,2020-04-26,64.4,Tripura
Agartala,2020-04-27,64.4,Tripura
Agartala,2020-04-28,64.4,Tripura
Agartala,2020-04-29,64.4,Tripura
Agartala,2020-04-30,64.4,Tripura
Agartala,2020-05-01,64.4,Tripura
Agartala,2020-05-02,64.4,Tripura
Agartala,2020-05-03,64.4,Tripura
Agartala,2020-05-04,64.4,Tripura
Agartala,2020-06-02,64.94,Tripura
Agartala,2020-06-03,64.94,Tripura
Agartala,2020-06-04,64.94,Tripura
Agartala,2020-06-05,64.94,Tripura
Agartala,2020-06-06,64.94,Tripura
Agartala,2020-06-07,65.34,Tripura
Agartala,2020-06-08,65.94,Tripura
Agartala,2020-06-09,66.52,Tripura
Agartala,2020-06-10,67.12,Tripura
Agartala,2020-06-11,67.72,Tripura
Agartala,2020-06-12,68.32,Tripura
Agartala,2020-06-13,68.92,Tripura
Agartala,2020-06-14,69.52,Tripura
Agartala,2020-06-15,69.81,Tripura
Agartala,2020-06-17,70.84,Tripura
Agartala,2020-06-18,80.44,Tripura
Agartala,2020-06-19,81.0,Tripura
Agartala,2020-06-20,72.61,Tripura
Agartala,2020-06-21,73.2,Tripura
Agartala,2020-06-22,73.8,Tripura
Agartala,2020-06-23,74.35,Tripura
Agartala,2020-06-24,74.47,Tripura
Agartala,2020-06-25,74.61,Tripura
Agartala,2020-06-26,74.78,Tripura
Agartala,2020-06-27,74.98,Tripura
Agartala,2020-06-28,74.98,Tripura
Agartala,2020-06-29,75.18,Tripura
Agartala,2020-06-30,75.18,Tripura
Agartala,2020-07-01,75.18,Tripura
Agartala,2020-07-02,75.18,Tripura
Agartala,2020-07-03,75.18,Tripura
Agartala,2020-07-04,75.18,Tripura
Agartala,2020-07-05,75.18,Tripura
Agartala,2020-07-06,75.18,Tripura
Agartala,2020-07-07,75.48,Tripura
Agartala,2020-07-08,75.48,Tripura
Agartala,2020-07-09,75.48,Tripura
Agartala,2020-07-10,75.48,Tripura
Agartala,2020-07-11,75.48,Tripura
Agartala,2020-07-12,75.61,Tripura
Agartala,2020-07-13,75.71,Tripura
Agartala,2020-07-15,75.83,Tripura
Agartala,2020-07-16,75.83,Tripura
Agartala,2020-07-17,75.98,Tripura
Agartala,2020-07-18,76.13,Tripura
Agartala,2020-07-19,76.13,Tripura
Agartala,2020-07-20,76.25,Tripura
Agartala,2020-07-21,76.25,Tripura
Agartala,2020-07-22,76.25,Tripura
Agartala,2020-07-23,76.25,Tripura
Agartala,2020-07-24,76.25,Tripura
Agartala,2020-07-25,76.4,Tripura
Agartala,2020-07-26,76.63,Tripura
Agartala,2020-07-27,76.63,Tripura
Agartala,2020-07-28,76.63,Tripura
Agartala,2020-07-29,76.63,Tripura
Agartala,2020-07-30,76.63,Tripura
Agartala,2020-07-31,76.63,Tripura
Agartala,2020-08-01,76.63,Tripura
